visit_id,client_id,Variation,successful_visit,step_count,visit_duration,confirm,start,step_1,step_2,step_3
101430298_69072505500_555518,8902430,Test,True,6,271.0,1,1,2,1,1
101443588_38539502180_993540,5060980,Test,False,1,0.0,1,0,0,0,0
10146625_55092448080_942181,7866354,Control,True,5,141.0,1,1,1,1,1
101474438_42996626661_564566,9166062,Test,False,3,101.0,0,1,1,1,0
101492053_41703829728_425044,7380609,Test,True,5,234.0,1,1,1,1,1
101494772_26515669036_129353,8670426,Test,True,7,231.0,1,1,1,2,2
101579558_69735183437_760737,7019445,Test,True,5,310.0,1,1,1,1,1
101587529_99858300359_232850,7619272,Control,False,2,12.0,0,1,1,0,0
10159182_15246511835_346098,1807324,Test,False,1,0.0,1,0,0,0,0
10159198_84729287535_194650,1789332,Test,False,1,0.0,1,0,0,0,0
10160247_7644306633_536261,7135656,Test,True,5,240.0,1,1,1,1,1
101632251_3972004281_699230,3927920,Control,False,4,40.0,0,1,1,2,0
101632913_38542641459_604433,9791984,Control,True,5,212.0,1,1,1,1,1
101657019_35350936910_130328,1781217,Control,False,4,193.0,0,1,1,1,1
101694351_48478447145_497774,5089978,Test,False,1,0.0,0,1,0,0,0
101699555_81180756343_194382,1631043,Test,True,5,115.0,1,1,1,1,1
101705911_92910589456_700339,4575080,Test,True,5,59.0,1,1,1,1,1
101715826_97622208061_360008,4906459,Control,False,4,201.0,0,1,1,1,1
101723155_55190658662_237894,1159819,Control,True,5,216.0,1,1,1,1,1
101730358_52940740127_700366,9921452,Test,True,5,75.0,1,1,1,1,1
101768700_91142432630_586450,7611942,Test,False,2,28.0,0,1,1,0,0
10177503_3130035561_623787,2917969,Test,False,2,177.0,1,0,0,0,1
101780244_22851723186_748129,4836017,Control,False,1,0.0,0,1,0,0,0
101794167_4777787282_217687,7529949,Test,False,2,16.0,0,1,1,0,0
101795269_11014215878_581088,2212960,Test,True,5,279.0,1,1,1,1,1
101802638_52752999485_99956,6251313,Test,True,5,184.0,1,1,1,1,1
101815309_16518757746_588210,6017862,Control,True,5,171.0,1,1,1,1,1
101822764_25803298242_795564,9655476,Control,False,3,57.0,0,1,1,1,0
101881214_40147450360_975629,7339781,Test,True,5,147.0,1,1,1,1,1
101884417_53293783110_925967,1777437,Control,False,3,47.0,0,1,1,1,0
101885734_33165249816_513951,4623321,Test,False,2,16.0,0,1,1,0,0
101886605_42106504820_186284,8875788,Control,False,3,132.0,0,1,1,1,0
101894537_62812466351_460394,7707667,Test,False,3,172.0,0,1,1,1,0
101901793_38285706284_788189,8984930,Test,True,5,142.0,1,1,1,1,1
10195285_83113954302_914786,8252266,Control,True,7,381.0,1,1,2,2,1
101964240_76921976749_632667,2200195,Test,False,1,0.0,0,1,0,0,0
101992635_61594742250_953624,6642237,Control,True,5,229.0,1,1,1,1,1
102011341_65573429752_679025,88378,Control,False,2,55.0,0,1,1,0,0
102023307_11552556299_423138,4863666,Test,False,1,0.0,1,0,0,0,0
102028949_77333531405_172916,3606469,Test,True,5,107.0,1,1,1,1,1
102039130_96083762708_562998,1688588,Test,True,4,212.0,1,1,3,2,2
102039130_96083762708_562998,9719474,Control,True,5,89.0,1,1,3,2,2
102080539_2157046535_369903,7812894,Control,False,1,0.0,0,1,0,0,0
10208190_60248923635_552228,3934629,Control,False,3,18.0,0,1,1,1,0
102107667_79348620618_407005,6363082,Control,False,3,50.0,0,1,2,0,0
102117430_8358683171_251810,5084415,Control,True,5,377.0,1,1,1,1,1
102118013_73394275138_810845,9965526,Control,False,1,0.0,0,1,0,0,0
102127158_52101637420_767224,1364913,Test,False,1,0.0,1,0,0,0,0
102142817_7580637917_670602,1373405,Test,False,1,0.0,1,0,0,0,0
102156481_9712246009_751130,1194972,Control,False,2,5.0,0,1,1,0,0
102172447_66154207246_163667,568717,Control,False,2,5.0,0,1,1,0,0
102192856_36776313213_528609,9223714,Test,True,5,95.0,1,1,1,1,1
102196638_7300689157_648696,6861882,Test,False,1,0.0,0,1,0,0,0
10219761_62886288888_316058,1695407,Control,False,2,7.0,0,1,1,0,0
102214391_53690192711_710157,7676929,Test,False,1,0.0,0,1,0,0,0
102239627_21788120461_642410,9509478,Test,True,5,149.0,1,1,1,1,1
102241937_44186923257_675771,2268205,Control,True,5,87.0,1,1,1,1,1
102244529_84725290299_488803,3971370,Test,False,1,0.0,0,1,0,0,0
102248635_49263086114_638760,7280817,Test,False,1,0.0,0,1,0,0,0
102260327_62370031760_695202,2319496,Test,True,5,165.0,1,1,1,1,1
102325392_86547848475_112415,9106010,Control,False,1,0.0,0,1,0,0,0
10233178_18548402935_608194,8664229,Control,False,1,0.0,0,1,0,0,0
10234907_41978095975_824674,5075261,Test,True,5,101.0,1,1,1,1,1
102420850_45848793138_457210,1205471,Control,False,1,0.0,0,1,0,0,0
102421900_70236787868_561855,8358616,Control,False,1,0.0,0,1,0,0,0
102444768_32769766838_982610,5630016,Control,True,5,406.0,1,1,1,1,1
102461853_89884307837_366717,5864399,Control,False,4,84.0,0,1,1,1,1
102471329_42330730217_249767,1754189,Control,False,1,0.0,0,1,0,0,0
102484927_98294291724_438700,5388829,Test,True,7,218.0,1,1,1,2,2
102494042_58914135776_502357,362107,Test,True,5,62.0,1,1,1,1,1
102499021_85930930609_946443,4630890,Test,True,5,233.0,1,1,1,1,1
10250417_54755943070_630567,2967792,Control,False,1,0.0,0,1,0,0,0
102533008_90910706675_937858,9098597,Test,False,3,15.0,0,1,1,1,0
102536241_9330188050_272777,7714175,Test,True,5,255.0,1,1,1,1,1
102557097_40239704786_584359,4301480,Control,False,1,0.0,1,0,0,0,0
102592926_95416944746_414256,654172,Test,False,1,0.0,0,1,0,0,0
102658008_48118015069_66903,4503552,Control,False,1,0.0,0,1,0,0,0
102676129_2928490180_116179,5490056,Test,False,1,0.0,0,1,0,0,0
102700395_3650299328_241644,7854180,Control,True,5,259.0,1,1,1,1,1
102711693_32673812507_268789,6383242,Control,False,4,116.0,0,1,1,1,1
102712882_62553151276_884405,1185501,Test,False,1,0.0,1,0,0,0,0
10271778_60310580255_346120,9371642,Test,True,5,190.0,1,1,1,1,1
102726299_88890501425_250481,2963023,Test,True,7,101.0,1,1,2,2,1
102736795_17468849335_437561,8920170,Test,False,1,0.0,1,0,0,0,0
102777033_42146116298_112667,464397,Test,False,5,133.0,0,1,2,1,1
102779011_83152676059_817594,3994773,Control,False,1,0.0,0,1,0,0,0
102801864_49345732746_12571,3548520,Control,False,3,178.0,0,1,1,1,0
102837653_94701008367_878441,1682129,Test,True,5,348.0,1,1,1,1,1
102846212_50902509516_776918,1807611,Test,False,6,127.0,0,1,1,2,2
102870081_77463689264_654344,4540897,Test,False,4,238.0,0,1,1,1,1
102878449_27122708953_916774,8936124,Test,False,2,3.0,0,1,1,0,0
102916667_11468243351_655545,9677689,Control,False,1,0.0,0,1,0,0,0
102940379_7417592296_388628,3095311,Test,False,1,0.0,0,1,0,0,0
102949387_26784818853_893988,5031420,Control,False,1,0.0,0,1,0,0,0
10297728_36443899834_420540,4805014,Test,True,5,247.0,1,1,1,1,1
10297943_82235334464_956711,4018288,Test,False,2,26.0,0,1,1,0,0
103003186_87917713003_452667,560955,Control,False,1,0.0,0,1,0,0,0
103021888_19484517133_523435,5824640,Control,False,4,121.0,0,1,1,1,1
103041874_95879211699_309427,3709450,Control,False,1,0.0,0,1,0,0,0
103097108_59620739018_675854,1368796,Control,False,4,160.0,0,1,1,1,1
103099657_39558218628_73278,7749406,Control,False,4,51.0,0,1,2,1,0
103103875_46336298052_373337,9110158,Test,True,5,107.0,1,1,1,1,1
103130243_32100266511_903233,9541276,Test,True,5,138.0,1,1,1,1,1
103136978_65760039883_30108,2152815,Test,False,1,0.0,0,1,0,0,0
103153313_89180810554_652969,5882141,Test,True,5,161.0,1,1,1,1,1
10316232_45686287355_885895,9609949,Control,False,1,0.0,0,1,0,0,0
103190227_18153491384_523716,9355560,Test,False,2,8.0,0,1,1,0,0
103203733_87955828038_624161,4764904,Test,False,1,0.0,0,1,0,0,0
103206917_79424670085_548578,6572513,Control,True,5,109.0,1,1,1,1,1
103231866_97001718341_176355,1877137,Test,True,5,106.0,1,1,1,1,1
103250270_91305892356_725889,2320677,Test,True,5,403.0,1,1,1,1,1
103259230_91726805198_42860,1235280,Control,True,5,225.0,1,1,1,1,1
103262112_44272205554_17076,1121613,Control,True,5,175.0,1,1,1,1,1
103280492_35048423642_295880,1459612,Test,True,5,91.0,1,1,1,1,1
103282678_27042361815_851705,7458004,Control,True,5,165.0,1,1,1,1,1
103288968_42584086301_52288,518097,Control,True,5,159.0,1,1,1,1,1
103314992_38940221828_86119,7338537,Test,True,5,124.0,1,1,1,1,1
103334673_42929357722_227220,5549883,Test,True,5,170.0,1,1,1,1,1
103338906_44331369004_437726,4790831,Test,False,1,0.0,1,0,0,0,0
103341679_51260451764_941791,2488210,Test,False,1,0.0,0,1,0,0,0
103342398_45398458430_825388,9545144,Test,True,5,390.0,1,1,1,1,1
103351895_72450757094_488818,7065902,Test,True,5,175.0,1,1,1,1,1
103375343_29061810051_12489,4924477,Test,False,3,22.0,0,1,1,1,0
103386244_38229139313_546758,9204785,Control,True,5,348.0,1,1,1,1,1
103389609_87597000224_651297,5114008,Control,False,4,119.0,0,1,3,0,0
103396645_98084330235_245798,2480090,Test,False,10,464.0,0,1,4,5,0
103488628_49758919268_823542,8820590,Test,False,1,0.0,0,1,0,0,0
103510306_94152799763_79978,725801,Control,False,4,54.0,0,1,1,1,1
103514777_61647169544_119343,4330533,Control,False,2,6.0,0,1,1,0,0
103538296_11904058214_819864,396003,Test,False,2,31.0,0,1,1,0,0
103547153_48132333098_296164,9255891,Control,True,5,124.0,1,1,1,1,1
103561765_93272178897_495124,1108147,Test,False,4,136.0,0,1,1,1,1
103568196_75903429026_290469,2792044,Test,False,2,32.0,0,1,1,0,0
103587918_85812829742_55398,4237982,Control,True,5,129.0,1,1,1,1,1
103601194_76355185230_460744,5503800,Control,True,9,158.0,1,1,1,3,3
103610734_70849851857_133700,5802843,Test,False,4,123.0,0,1,1,1,1
103615346_95330399076_836311,448522,Test,False,1,0.0,0,1,0,0,0
103652701_73650629217_989700,6455115,Control,False,2,52.0,0,1,1,0,0
103672872_27263820810_450006,120309,Control,True,5,241.0,1,1,1,1,1
103689029_41882753010_215591,2363091,Test,True,5,45.0,1,1,1,1,1
103690685_99093075856_611613,8223918,Test,False,1,0.0,1,0,0,0,0
103728654_862458844_13886,5299122,Control,False,1,0.0,0,1,0,0,0
103760599_69968167899_342222,2165367,Control,False,4,61.0,0,1,2,1,0
103771513_78523843872_7154,6834658,Control,False,2,45.0,0,1,1,0,0
103808018_38026064618_356916,1350186,Control,True,5,178.0,1,1,1,1,1
103844930_39480104147_119972,1295824,Test,True,4,150.0,1,1,3,2,2
103844930_39480104147_119972,7516259,Control,True,5,197.0,1,1,3,2,2
103892479_63697822086_835141,7581565,Test,False,1,0.0,1,0,0,0,0
103954141_32721167733_76757,4036374,Control,False,1,0.0,1,0,0,0,0
103961115_70179628776_519590,2935833,Control,False,1,0.0,1,0,0,0,0
103962335_25060963174_327284,7269600,Control,True,8,283.0,1,1,3,2,1
10405216_27295232690_129849,9518630,Test,False,5,241.0,0,1,1,1,2
104063878_93190446416_742455,2429948,Control,False,1,0.0,0,1,0,0,0
104072021_28244059579_597590,96845,Control,False,2,44.0,0,1,1,0,0
104083710_37806604745_590166,5708846,Test,True,7,119.0,1,1,2,2,1
104083800_60349476282_456725,7544412,Control,True,5,122.0,1,1,1,1,1
1040920_55307144228_427483,9288209,Test,True,5,161.0,1,1,1,1,1
104145193_36067138148_118971,8007865,Control,False,1,0.0,0,1,0,0,0
104169592_44210761083_702489,9436513,Control,True,5,213.0,1,1,1,1,1
104188701_32251245563_949267,6622564,Test,False,4,291.0,0,1,1,1,1
104192619_67296701164_160596,6851822,Test,False,1,0.0,0,1,0,0,0
104222319_64628836240_918404,6428716,Control,True,6,252.0,1,1,2,1,1
104232935_43235873983_67440,7745397,Control,False,1,0.0,0,1,0,0,0
104270547_21421209917_971358,3232335,Control,True,5,226.0,1,1,1,1,1
104326589_70843130712_906222,4846242,Control,False,2,26.0,0,1,1,0,0
104337957_61247003448_631454,8598372,Test,False,5,187.0,0,1,2,2,0
10434397_57821410111_397397,714163,Control,False,1,0.0,0,1,0,0,0
104362744_26476684339_478439,2145707,Control,False,1,0.0,0,1,0,0,0
104376122_49318033660_691105,9485851,Control,False,3,14.0,0,1,1,1,0
104384293_44856181492_698912,7531469,Test,True,5,70.0,1,1,1,1,1
104400883_2375105976_218259,7459131,Test,False,2,29.0,0,1,1,0,0
104418267_51474889719_962654,2874925,Test,True,5,247.0,1,1,1,1,1
104438405_2368283624_817211,836976,Test,False,1,0.0,0,1,0,0,0
104455207_26549011733_252030,2584387,Test,False,3,42.0,0,1,1,1,0
104475028_24299576645_951674,7979029,Test,False,2,5.0,0,1,1,0,0
104484209_99971291516_97120,1760804,Test,False,1,0.0,1,0,0,0,0
104503918_88678867372_299559,9444621,Test,True,5,142.0,1,1,1,1,1
104510040_4336593208_128989,7305447,Test,False,1,0.0,0,1,0,0,0
104520844_52262021509_531039,6690818,Test,False,1,0.0,0,1,0,0,0
104561734_15618293043_834527,7614662,Control,False,3,17.0,0,1,1,1,0
104573440_30922831299_26449,8866119,Test,False,1,0.0,0,1,0,0,0
104600854_54570236968_577535,7187827,Test,False,4,104.0,0,1,1,1,1
104604981_52018008817_489927,2781778,Control,False,2,7.0,0,1,1,0,0
104607553_63113543212_684641,4292744,Test,False,4,192.0,0,1,1,1,1
104609860_39786720919_506291,1600479,Test,False,2,16.0,0,1,1,0,0
104629663_11646004013_508037,7813768,Control,True,5,167.0,1,1,1,1,1
104648703_38088655862_963517,4851774,Test,False,1,0.0,0,1,0,0,0
104678659_36278223108_614428,5037795,Control,True,5,321.0,1,1,1,1,1
104692670_75667241605_479940,5172248,Test,False,4,98.0,0,1,1,1,1
104705023_95620564777_593551,7010100,Test,False,1,0.0,1,0,0,0,0
104710911_72306734784_450595,3091233,Test,True,5,221.0,1,1,1,1,1
104713695_45224189972_256336,4625824,Control,False,1,0.0,0,1,0,0,0
104734418_18768854589_912405,6947786,Test,True,5,462.0,1,1,1,1,1
104759010_79418548877_133125,5136874,Test,True,5,100.0,1,1,1,1,1
104759490_32926825705_39628,5984123,Test,True,6,142.0,1,1,2,1,1
104771695_29531939894_162247,6435592,Test,True,5,110.0,1,1,1,1,1
104776692_31910584761_228392,4988214,Test,False,1,0.0,0,1,0,0,0
104779581_5871971578_957356,4836017,Control,False,1,0.0,0,1,0,0,0
104805821_49529469720_441232,1132034,Test,False,4,86.0,0,1,1,1,1
104807765_77625325003_191943,5585124,Test,False,1,0.0,1,0,0,0,0
104815984_48743056662_416310,8165914,Test,True,5,288.0,1,1,1,1,1
10485582_53453454481_438325,313261,Control,False,1,0.0,0,1,0,0,0
10486918_82817683707_804371,7240019,Test,True,5,160.0,1,1,1,1,1
104874051_46248484407_868424,5503836,Control,False,2,10.0,0,1,1,0,0
104893454_90760084160_255538,9896387,Control,False,1,0.0,0,1,0,0,0
104896416_75722393196_689072,2386196,Test,False,2,26.0,0,1,1,0,0
104944548_40883139441_93173,3669767,Control,True,6,188.0,1,1,1,2,1
104984137_13056803769_910973,5746657,Control,False,1,0.0,0,1,0,0,0
105029903_87788497968_464510,5823990,Control,False,1,0.0,0,1,0,0,0
105048078_55050699627_845365,7197684,Control,False,1,0.0,0,1,0,0,0
105052451_60790410291_962728,1109486,Test,True,5,142.0,1,1,1,1,1
105090713_48098327093_411060,7584405,Test,False,2,5.0,0,1,1,0,0
105091881_38847710974_589990,466142,Control,True,5,235.0,1,1,1,1,1
105120777_71749834736_17256,6934467,Test,False,1,0.0,0,1,0,0,0
105125451_97139103576_888733,5945765,Test,True,5,188.0,1,1,1,1,1
105130144_88070617597_601122,693478,Test,True,5,337.0,1,1,1,1,1
105130588_83395941950_968824,6856615,Control,True,5,195.0,1,1,1,1,1
105184438_82572170937_625454,743500,Test,False,1,0.0,1,0,0,0,0
105189986_65940289745_70685,4950671,Test,False,1,0.0,0,1,0,0,0
105213573_6959115113_374761,8760347,Test,True,6,250.0,1,1,2,1,1
105222844_74154967745_766885,2686820,Control,False,1,0.0,1,0,0,0,0
105231784_73768895001_439276,8056722,Control,True,5,100.0,1,1,1,1,1
10525585_16624908258_755243,9587164,Control,True,5,156.0,1,1,1,1,1
105267422_78903782197_367795,9402694,Control,False,6,176.0,1,1,2,1,1
105297786_29621496747_670454,7950621,Test,False,2,117.0,0,1,1,0,0
105310597_44245617177_116573,7498356,Control,True,5,100.0,1,1,1,1,1
105351405_51853757122_157297,1913034,Control,False,1,0.0,0,1,0,0,0
105397247_2189954903_518088,3696592,Control,True,7,196.0,1,1,2,2,1
105429711_80835396569_655126,3492371,Control,False,1,0.0,0,1,0,0,0
105450483_7512094596_788141,1611437,Control,False,1,0.0,0,1,0,0,0
105458894_14199333129_3131,5096171,Control,True,5,237.0,1,1,1,1,1
105462273_67494302373_957890,2821646,Test,True,5,209.0,1,1,1,1,1
105463936_33665073256_202725,4121100,Control,True,5,89.0,1,1,1,1,1
105559792_63874509233_764714,5100305,Test,False,2,7.0,0,1,1,0,0
105562619_26580127431_303548,7391530,Test,False,3,41.0,0,1,1,1,0
10556427_59314261366_450199,2886145,Test,True,5,157.0,1,1,1,1,1
10557984_74046296909_674197,2508692,Test,False,2,63.0,0,1,1,0,0
105638531_66120099772_582488,3376992,Test,False,4,84.0,0,1,1,1,1
105642856_37220704300_234639,6747982,Control,False,1,0.0,0,1,0,0,0
105654856_27538576603_148503,1532540,Test,True,5,183.0,1,1,1,1,1
10566599_45587295025_172827,5728657,Control,False,2,17.0,0,1,1,0,0
105682428_52007266588_875444,8586150,Test,False,1,0.0,0,1,0,0,0
105687916_37056975038_128942,5013337,Control,True,5,357.0,1,1,1,1,1
105697603_42362617011_929945,4564157,Test,True,5,189.0,1,1,1,1,1
105699523_64156824462_799517,995709,Test,False,3,23.0,0,1,1,1,0
105713435_18275303055_967670,1715849,Test,True,5,299.0,1,1,1,1,1
105716156_71220350745_747217,728589,Test,False,1,0.0,0,1,0,0,0
105716721_80700316781_770303,7389040,Test,False,1,0.0,0,1,0,0,0
105731649_83555448762_981216,608061,Test,False,1,0.0,1,0,0,0,0
105742024_85246754194_412258,5730234,Control,False,2,12.0,0,1,1,0,0
10577637_54025840873_943862,295858,Test,True,5,145.0,1,1,1,1,1
105779011_74310922511_16797,6448159,Control,False,2,46.0,0,1,1,0,0
105846899_46106521051_46180,3287793,Test,False,4,173.0,0,1,1,1,1
105849068_17000709084_830710,6765412,Control,True,5,160.0,1,1,1,1,1
10584945_46072439356_160342,4270488,Test,True,5,144.0,1,1,1,1,1
105862321_36551903844_939043,689760,Control,False,1,0.0,0,1,0,0,0
105869340_73426603366_346966,7122738,Test,False,4,100.0,0,1,2,1,0
105877223_61802077621_417951,3171521,Control,True,6,165.0,1,1,1,2,1
105885941_28403377963_508699,8789984,Test,False,2,28.0,0,1,1,0,0
1059370_91798102316_778136,1160323,Test,False,1,0.0,1,0,0,0,0
105973947_88322987006_257781,8484054,Test,True,5,141.0,1,1,1,1,1
105981591_70237515451_29158,6665261,Control,True,6,412.0,1,1,2,1,1
105998803_62630916167_181478,8929415,Control,True,10,338.0,1,1,3,3,2
105999073_77773384891_217157,1062464,Test,True,5,279.0,1,1,1,1,1
106001304_58473891975_988259,4238188,Test,True,5,186.0,1,1,1,1,1
106006949_19302036601_135335,7266655,Test,True,5,123.0,1,1,1,1,1
106014124_52918172004_518837,5682010,Control,False,1,0.0,0,1,0,0,0
106020983_93181100604_585693,9441095,Control,False,3,64.0,0,1,1,1,0
106024454_57984502700_991263,2720367,Control,False,1,0.0,1,0,0,0,0
106039644_54416841163_187238,4579542,Control,False,1,0.0,0,1,0,0,0
106052429_14824196356_905818,4903514,Test,True,5,183.0,1,1,1,1,1
106063612_44887943452_881713,5731029,Test,True,5,146.0,1,1,1,1,1
106077428_2572724392_430646,2406034,Control,True,5,146.0,1,1,1,1,1
106135460_7780027275_359695,4834621,Control,False,1,0.0,0,1,0,0,0
106145543_80076286901_797889,5488621,Control,False,1,0.0,0,1,0,0,0
106158354_34890877097_430348,9382169,Control,False,1,0.0,0,1,0,0,0
106159737_63034228854_430947,3923641,Test,False,1,0.0,1,0,0,0,0
106162458_13073625157_259055,9499259,Control,True,7,189.0,1,1,1,2,2
106166026_65762982131_718523,2403780,Test,False,4,119.0,0,1,1,1,1
106169276_92801217913_772633,4809145,Test,False,3,46.0,0,1,1,1,0
106185096_47057462651_445214,6831637,Test,False,1,0.0,1,0,0,0,0
106188542_73791453439_396070,6905898,Control,True,7,391.0,1,1,3,1,1
106220538_39932157904_500054,2129470,Test,False,1,0.0,0,1,0,0,0
106221391_55485370533_288682,7582539,Control,True,5,218.0,1,1,1,1,1
106230609_98155655442_299610,4926147,Control,True,5,67.0,1,1,1,1,1
106232894_58365287236_311352,9278443,Control,True,5,120.0,1,1,1,1,1
106264914_49585476195_879523,1589303,Test,True,10,609.0,1,1,3,3,2
10628788_64867837632_58583,3454682,Test,False,29,270.0,0,1,15,13,0
106288735_5496759638_969218,8608653,Control,True,5,170.0,1,1,1,1,1
106291332_52075654336_115876,3235299,Test,True,5,335.0,1,1,1,1,1
106291506_73338568134_866530,7249843,Control,False,1,0.0,0,1,0,0,0
106379446_67121530348_419079,3830756,Test,False,5,198.0,0,1,2,1,1
106392375_63078373438_245579,8075262,Test,False,1,0.0,0,1,0,0,0
106448779_70353020907_405440,4332256,Control,False,4,96.0,0,1,1,2,0
106465765_51525981109_216333,2130483,Control,False,1,0.0,0,1,0,0,0
106506438_80982910196_874581,3829697,Control,False,4,211.0,0,1,1,1,1
106516319_17231742424_451640,3673896,Control,True,5,124.0,1,1,1,1,1
106537849_47975457596_14701,4097570,Test,False,1,0.0,1,0,0,0,0
106539194_44506273146_830318,858693,Test,True,5,297.0,1,1,1,1,1
10654808_96674023203_858549,5698909,Test,False,1,0.0,1,0,0,0,0
106573888_98797701613_129572,8366482,Control,False,1,0.0,1,0,0,0,0
106588504_5828543624_414168,5524226,Control,True,9,140.0,1,1,2,3,2
106610175_69651082283_22181,5048549,Control,False,4,110.0,0,1,1,2,0
106610261_26517700947_566412,2528424,Test,False,1,0.0,0,1,0,0,0
106616352_49336215172_500698,1414990,Test,True,5,116.0,1,1,1,1,1
106655969_13360877421_676015,5984207,Test,False,4,149.0,0,1,1,1,1
